Номенклатура
01-04.000 Надстройка сервисная МРЛ-22.2
01-04.000 Надстройка сервисная МРЛ-22.3
01-04.725 Надстройка сервисная МРЛ-21.3
01-04.726 Надстройка сервисная МРЛ-22.3
01-08.000 Надставка с блоком розеток СЛ-12.1.М5
01-08.000 Надставка с блоком розеток СЛ-12.2.М2
01-08.000 Надставка с блоком розеток СЛ-12.2.М4
01-08.513 Стол лабораторный для приборов СЛ-12.1
01-08.514 Стол лабораторный для приборов СЛ-12.1
01-09.511 Стол-мойка одинарная СМЛ-01.1
01-09.521 Стол-мойка одинарная СМЛ-01.2
01-09.521п Стол-мойка одинарная СМЛ-01.2
01-09.531 Стол-мойка одинарная СМЛ-01.3
01-09.531л Стол-мойка одинарная СМЛ-01.3
01-09.531п Стол-мойка одинарная СМЛ-01.3
01-09.541 Стол-мойка одинарная СМЛ-02.1
01-11.113 Сушка МРЛ-29.1
01-12.504 Шкаф-стол приставной ШСЛ-02.2
01-14.000 Стол лабораторный усиленный СЛ-11.10
01-14.000 Стол лабораторный усиленный СЛ-11.6
01-14.522 Стол лабораторный усиленный СЛ-11.8
01-15.511 Стол лабораторный островной СЛ-14.2
01-15.521 Стол лабораторный островной СЛ-14.3
01-18.000 Стол угловой лабораторный СЛ-13.2
01-18.522 Стол угловой лабораторный СЛ-13.2
01-19.504 Стол передвижной МРЛ-12.2
01-19.514 Стол передвижной МРЛ-12.4
01-22.000 Тумба подвесная лабораторная МРЛ-18.1
01-22.000 Тумба подвесная лабораторная МРЛ-18.2
01-22.000 Тумба подвесная лабораторная МРЛ-20.1
01-22.713 Тумба подвесная лабораторная МРЛ-18.1
01-22.721 Тумба подвесная лабораторная МРЛ-18.2
01-22.722 Тумба подвесная лабораторная МРЛ-18.2
01-22.724 Тумба подвесная лабораторная МРЛ-18.2
01-22.725 Тумба подвесная лабораторная МРЛ-18.2
01-22.734 Тумба подвесная лабораторная МРЛ-18.2
01-22.761 Тумба подвесная лабораторная МРЛ-19.1
01-22.764 Тумба подвесная лабораторная МРЛ-19.1
01-22.771 Тумба подвесная лабораторная МРЛ-19.2
01-22.774 Тумба подвесная лабораторная МРЛ-19.2
01-22.781 Тумба подвесная лабораторная МРЛ-20.1
02-01.811 Шкаф для реактивов ШЛ-05.2
02-02.000 Шкаф для посуды ШЛ-06.2
02-02.112 Шкаф для посуды ШЛ-06.1
02-02.122 Шкаф для посуды ШЛ-06.2
02-02.714 Шкаф для посуды ШЛ-06.1
02-02.722 Шкаф для посуды ШЛ-07.2
02-02.723 Шкаф для посуды ШЛ-06.2
02-02.724 Шкаф для посуды ШЛ-06.2
02-03.000 Шкаф для одежды ШЛ-08.3
02-03.111 Шкаф для одежды ШЛ-08.1
02-03.121 Шкаф для одежды ШЛ-08.2
02-03.721 Шкаф для одежды ШЛ-08.4
02-03.722 Шкаф для одежды ШЛ-08.4
02-08.000 Шкаф лабораторный вытяжной ШВЛ-05.2
02-08.000 Шкаф лабораторный вытяжной ШВЛ-05.3
02-08.000 Шкаф лабораторный вытяжной ШВЛ-05.5
02-08.712 Шкаф лабораторный вытяжной ШВЛ-05.1
02-08.714 Шкаф лабораторный вытяжной ШВЛ-05.1
02-08.722 Шкаф лабораторный вытяжной ШВЛ-05.3
02-08.723 Шкаф лабораторный вытяжной ШВЛ-05.3
02-08.734 Шкаф лабораторный вытяжной ШВЛ-05.5
02-14.021 Шкаф лабораторный вытяжной ШВЛ-05.3
03-01.112 Стол рабочий СЛ-23.2
03-01.122 Стол рабочий СЛ-23.3
03-08.000 Стеллаж МРЛ-37.4
03-08.713 Стеллаж МРЛ-37.1
03-08.723 Стеллаж МРЛ-37.3
03-08.724 Стеллаж МРЛ-37.4
04-01.112 Блок электрический на две розетки
04-01.202 КВП с управляемой вентиляционной заслонкой
04-01.322 Панель с розетками 1500 мм
04-04.520 Надстройка под дистиллятор МРЛ-30.1
091 1/2'  Кран шаровый ITAP art.091, полнопроходной, ВР-НР, 1/2" ручка
1,800 psi Разрывающиеся диски для систем баллистической трансфекции PDS-1000/He, 100 BioRad 1652332
10000811' Колба коническая КН-2-50-34, ТС уп/12шт
10000825 Колба Кн-1-250-29/32 ТУ 9464-019-29508133-2015, с дел., ТС
10000838' Колба коническая КН-3-100-34, ТС уп/12шт
10001132 Колба 2-1000-2 мерная, с пришлифованной пробкой 19/26
10001133 Колба 2-100-2 мерная, с пришлифованной пробкой 10/19
10001136 Колба 2-250-2 мерная, с пришлифованной пробкой 14/23
10001138 Колба 2-500-2 мерная, с пришлифованной пробкой14/23
10001140 Колба 2-5-2 мерная, с пришлифованной пробкой 7/16
10001147 Колба 2-10-2 мерная, с пришлифованной пробкой 10/19
10001203 Колба 2-25-2 мерная
10001204 Колба 2-50-2 мерная
10001705 Пипетка градуированная 2-2-2-10
10001707 Пипетка градуированная 2-1-2-5
10005114 Пробирка лабораторная по ТУ 9461-008-52876351-2008, ПБ2-16х150
10006804 Пипетка градуированная 1-1-2-1
1005 Термостат с охлаждением, 80 л, ТСО-1/80
11  Набор съёмников для стопорных колец inforce  08-22-00
11140 Платформа подъемная 240х240, рабочая высота 60-275 мм, нерж. сталь, Bochem
1119072 Тумба, Тумба мобильная Steel 11300 (дуб светлый/белый, 430х460х600 мм)
11284932001 ДНК-заI, DNase I from bovine pancreas, 100 мг, Roche
1195067 Стул, Стул для столовых Sheffilton SHT (пластик белый/каркас хром лак)
12001808 Капельница Страшейна 2-125 мл, темное стекло, с притертой пробкой- пипеткой, уп. 8 шт.,Мини
12001812 Капельница Страшейна 2-125 мл, светлое стекло, с притертой пробкой-пипеткой
12002949 Пробка резиновая мед. тип 1-1 д/пеницил.фл.
12003435 Стекло для микропрепаратов по ТУ 9464-012-52876859-2014, предметное СП-7109, с полиров. кра
12005008 Штатив д/пробирок 10-18 мм, 50 гнезд, с силиконовыми фиксаторами
12006005 Флакон для лек.средств ФО-1 НС-3, 10мл (пеницил-ки), уп.896шт
1230957 Мебель Диван двухместный Evolution голубой (кож. зам.) 36 Oregon голубой
1230958 Кресло Evolution голубой кож. зам. голубой
12520 Зажим защелкивающийся MOHR, L=50mm, b=25mm, Bochem
12531 Зажим винтовой с защелкой HOFFMANN, b=17mm, Bochem
12533 Зажим винтовой с защелкой HOFFMANN, материал Ms-Ni, b=25mm, Bochem
130-091-376 Стоковый раствор буфера BSA MACS /MACS BSA Stock Solution 6х75мл Miltenyibiotec
13000124 Ступка с пестиком фарфор., D100, d60, Н45
131007.1611 Ацетон, для аналитики(Reag. Ph. Eur.), PA-ACS-ISO, Panreac, 1л
131008.1612 Уксусная кислота (ледяная) (Reag. Ph. Eur.), PA-ACS-ISO, для аналитики, Panreac, 2,5 л
131067.1609 Трихлоруксусная кислота(Reag. Ph. Eur.), для аналитики, ACS,Panreac, 250 г
131130.1611 Аммиака 30% раствор (по NH3), для аналитики, ACS, Panreac, 1 л
131771.1608 Йод, ресублимированный, для аналитики, ACS, Panreac, 100 г
15.6" Ноутбук Acer Nitro 5 (AN515-54-5292)(FHD/IPS) i5 9300H/8192/SSD 512/NV GTX1650 4GB/No OC/Black
15.6" Ноутбук ASUS VivoBook S15 (M533IA-BQ143T)(FHD/IPS) Ryzen 5 4500U/8192/SSD 256/Radeon Vega/Win1
153516-100G Лактобионовая кислота/Lactobionic acid  Sigma-Aldrich, 100 г
160 -канальная шапочка без электродов, размер 54
160 -канальная шапочка без электродов, размер 56
160 -канальная шапочка без электродов, размер 58
161457.1611 Пиридин, 99%, для синтеза, Panreac, 1 л
163542.1611 Триэтиламин, для синтеза, 99,5%, Panreac, 1 л
1708205 Маркер 2.5 kb Molecular Ruler, Bio-Rad
175350.1611 Молекулярные сита 4A,Panreac, 1 кг
17931 40GBASE-SR4 QSFP+ Модуль 850nm 150m MTP/MPO для FS Коммутаторов
18064014 Обратная транскриптаза SuperScript II Transcriptase 10000ед Invitrogen
18064071 Обратная транскриптаза SuperScript II Transcriptase, 4х10000 ед, Invitrogen
2,2,2- Трифторэтанол 1067
2,4-Динитрофенилгидразин (ч) (0.05_кг) 453003ЛР
200325 Пакеты для образца "Вирл-пэк" 60 мл стерильный (7,5х12,5), 500 шт, Deltalab РУ№ФСЗ 2009/05517
2011020 Колено HEISSKRAFT п/п 90° Dn20
20220 Муфта HEISSKRAFT п/п Dn20
20AWG 0,5 мм? Медный провод в силиконовой изоляции (чёрный, UL3135)
20AWG 0,5 мм? Медный провод в силиконовой изоляции, (красный, UL3135)
21-01.502 Стол лабораторный СЛ-06.4М
21-01.511 Стол лабораторный СЛ-06.5М
21-01.512 Стол лабораторный СЛ-06.6М
21-01.521 стол лабораторный СЛ-06.7М
21-01.522 Стол лабораторный СЛ-06.8М
21-01.532 Стол лабораторный СЛ-06.10М
21-04.000 Надстройка сервисная МРЛ-21.1М
21-04.000 Надстройка сервисная МРЛ-21.2М
21-04.726 Надстройка сервисная МРЛ-22.3М
21-07.102 Стол для весов МРЛ-08.2М
21-07.512 Стол для весов МРЛ-09.2М
21-08.000 Надставка с блоком розеток СЛ-12.1.М1
21-08.000 Надставка с блоком розеток СЛ-12.2.М3
21-09.511 Стол-мойка одинарная СМЛ-01.1М
21-09.521 Стол-мойка одинарная СМЛ-01.2М
21-09.531 Стол-мойка одинарная СМЛ-01.3М
21-09.531л Стол-мойка одинарная СМЛ-01.3М
21-09.541 Стол-мойка одинарная СМЛ-02.1М
21-10.511 Стол-мойка двойная СМЛ-03.1М
21-12.521 Шкаф-стол приставной ШСЛ-03.2М
21-14.512 Стол лабораторный усиленный СЛ-11.6М
21-14.522 Стол лабораторный усиленный СЛ-11.8М
21-14.532 Стол лабораторный усиленный СЛ-11.10М
21-15.511 Стол лабораторный островной СЛ-14.2М
21-15.521 Стол лабораторный островной СЛ-14.3М
22-08.000 Шкаф лабораторный вытяжной ШВЛ-05.1М
221881.1612 Ацетонитрил UHPLC-Supergradient (Reag. Ph. Eur.), ACS, Panreac, 2,5
24AWG 0,2 мм? Медный провод в силиконовой изоляции (желтый, UL3135)
24AWG 0,2 мм? Медный провод в силиконовой изоляции (зеленый, UL3135)
24AWG 0,2 мм? Медный провод в силиконовой изоляции (красный, UL3135)
24AWG 0,2 мм? Медный провод в силиконовой изоляции (чёрный, UL3135)
251416.1610 Эозин метиленовый синий по Майн-Грюнвальду жидкий, Panreac, 500 мл
252273 Зеркало KD_Настенное Attache 1801 БШ-1 белый шелк
2х мастер-микс ProbeMaster no UDG для ПЦР в реальном времени (с ROX), 1 мл
2х смесь БиоМастер HS-qPCR для ПЦР с зондами 400 реакций по 25 мкл (-20°) BiolabMix_ MH020-400
300 стрипов по 8 плоских оптических крышек в каждом 2400 шт/уп Артикул 4323032
31-01.000 Скамья СЛ-06.1.М
31-01.000 Скамья СЛ-06.2.М
3315 Чашки Петри, d 90 мм, полистирол, h 14 мм, стерильные, 20 шт/уп., 480 шт /кор., Россия
3362.0100 Стеклянные шарики (бусы), d = 5 мм, 100 г
34896 0.5m (2ft) 40G QSFP+ Пассивный Медный Кабель DAC (Direct Attach Cable) для FS Коммутаторов
361736.1611 Тетрагидрофуран, УФ-ИК-ВЭЖХ-ГПХ, Panreac, 1 л/0,890 кг
36395 FS Совместимый с Mellanox MC2210411-SR4, 40GBASE-SR4 QSFP+ Модуль 850nm 150m MTP/MPO DOM
36431 Intel E10GSFPSR Совместимый 1000BASE-SX и 10GBASE-SR SFP+ Модуль 850nm 300m DOM
3730 Буфер (10X) W/EDTA , 500 мл, арт. 4335613
3D камера Intel® RealSense™ Depth Camera D435, 962305 артикул 82635AWGDVKPMP
3D принтер Bizon 2 MINI
3D принтер Picaso 3D Designer Classic
3D ПРИНТЕР PICASO 3D DESIGNER XL PRO
3D ПРИНТЕР RAISE3D PRO2
4-диметиламиноциннамальдегид (1г) -20° S-D4506-1.0
4',6-Диамидино-2-фенилиндол дигидрохлорид (10 мг) (+4 C) S-D9542-0,01
401425   Крышки к пробиркам / Mx3000P Optical Strip Caps (120 count)
401428 Пробирки / Mx3000P Strip Tubes
40М Набор звучащих шаров
4311320 Формамид высокоочищенный/HI-DI Formamide, 25 мл, Applied Biosystems
432101 Емкость для льда и жидкого азота 9 л, с крышкой, лайм, Maxi, Corning
432116 Емкость для льда и жидкого азота 1 л, синий, Mini, Corning
432129 Емкость для льда и жидкого азота 2,5 л, круглая с крышкой, синий, Round, Corning
4337450 Набор реагентов для секвенирования BigDye Terminator v1.1, 100 реакций, Thermo Fisher Scient
4337455 Набор реактивов для секвенирования ДНК BigDye Terminator v3.1 100реакций
4376486 Набор реактивов для удаления невстроенных терминаторов BigDye XTerminator, 100 реакций, Ther
4385-1L Нонидет/Nonidet P 40 Substitute BioChemika, standard mixture of 15 homologues (1L), Fluka, 1
4449754 Частицы калибровочные для Attune(зеленый, оранжевый, синий, красный) суспензия 3 мл Thermo
450 psi Разрывающиеся диски для систем баллистической трансфекции PDS-1000/He, 100 BioRad 1652326
48 378646¶Датчик температурный погружной для измерения ¶температуры в толще продукта кабель PTFE ¶пр
481254.1611 Дихлорметан, стаб.амиленом, б/в растворитель (ACS-ISO), Panreac, 1 л
48900-100ML-F  Краситель Гимза/Giemsa Stain, Modified Solution, Standard Fluka, for the staining
5001 Основание штатива, прямоугольное, нерж. сталь, 250x160, Bochem
500114 Адаптер / Holder microTUBE
5002 Основание штатива прямоугольное, нержавеющая сталь 300х150 мм, вес 2 кг, Bochem
500217 S220 Focused-ultrasonicator / S220 Система ультразвуковой фрагментации ДНК
5003 Основание штатива, прямоугольное, нержавеющая сталь 18/10,  315х200, 2,4 кг, Bochem
500492 Адаптер / S-Series Holder microTUBE-50 screw-Cap
5067-1511 Набор для анализа РНК RNA 6000 Nano Kit/Agilent RNA 6000 Nano Kit
5067-5584 Набор картриджей для высокочувствительного анализа ДНК 1000/High Sensitivity D1000 ScreenT
5067-5585 Набор реагентов для высокочувствительного анализа ДНК 1000/High Sensitivity D1000 Reagents
5067-5592 Набор для высокочувствительного анализа ДНК/High Sensitivity D5000 ScreenTape
5067-5593 Набор реагентов для высокочувствительного анализа ДНК/High Sensitivity D5000 Reagents
5067-5599 Наконечники / Loading Tips (10pk)
508025.R Тройник D110x110x45? Синикон
5112 Штанга для оснований штатива М10, нерж сталь, 750х12 мм, Bochem
516620 Шкаф хозяйственный ШМС-6.18 (400x450x1850 мм)
5172 Штанга для оснований штатива М10, нерж сталь, 750х13 мм, Bochem
5173 Штанга для оснований штатива М10, нерж сталь, 1000х13 мм, Bochem
520045 Пробирки с защелкивающимися крышками 130 мкл/microTUBE AFA Fiber Pre-Slit Snap-Cap 6x16mm (25
520166 microTUBE-50 AFA Fiber Screw-Cap (25) / Комплект пробирок (микропробирки)
5300 Узел крепежный, нерж.сталь 18/10, d - 16,5 тип  1, угол 90, резьба 6, Bochem
5306 Узел крепежный, нерж.сталь 18/10, d - 16,5 тип 4, угол 90+180, резьба 8, Bochem
5400 Зажим микро, 15 см, диаметр захвата 1 см, диам зажима 15мм, Bochem
5406 Зажим "лапка", d 25 мм длина 150 мм нерж.сталь, Bochem
5407 Зажим-лапка с пробковым покрытием, нерж ст, 15 см, диам 10/40, тип 2, Bochem
5500 Кольцо для колб, нерж. сталь, длина 160 мм, диам. 50 мм, Bochem
5504 Кольцо для колб. н/сталь, тип 1, дл.220 мм, d 140 мм, Bochem
550708 Стулья для посетителей, Конференц-стул Silwia на полозьях светло-бежевый (искусственная кожа/
5510 Кольцо для колб, нержавеющая сталь 18/10, длина 160 мм, диаметр 50 мм, незамкнутое, Bochem
5511 Кольцо для колб. н/сталь, тип 3, дл.200 мм, d 70 мм, Bochem
5512 Кольцо для колб, нержавеющая сталь 18/10, длина 220 мм, диаметр 100 мм, незамкнутое, Boche
5624 Зажим для бюретки и термометра AUTOMATIC со штангой, d пробирки до 25 мм, Bochem
5627 Зажим штативный, 3 лапки, длина 150 мм, D/d 10/0-60 мм, хромированный с ПВХ покрытием, Boc
61-01.512 Стол лабораторный СЛ-06.6М
62248 Раствор DAPI Solution 1мг/мл 1мл Invitrogen
63204 Набор лабораторных реагентов «DyeEx 2.0 Spin Kit (50)» Qiagen
652032 Мебель SL Imago Стеллаж высокий СТ-1 белый (крем)
652032 Стеллаж высокий Imago СТ-1 (белый, 770х365х1975 мм)
66237 3m (10ft) Senko MPO (мама) Патч-корд, 12 Волокон, 50/125 MM OM4 (OM3), Тип B, Elite, LSZH, Пур
66265 3m (10ft) MPO (мама) - 4 LC UPC Breakout Кабель, 8 Волокон, Тип B LSZH OM4 (OM3) 50/125 MM Dup
7201 Фитиль для спиртовой горелки, 1 м, 100% хлопок, Bochem
731881.1612 Ацетонитрил BioChemica,Panreac, 2,5 л
8-канальный цифровой видеорегистратор LTV RTM-082 00
821293 Стеллаж AIR Zone Стеллаж 6 секций белый
882829 Стол журнальный Триада-11 СМ (стекло матовое/металлик, 730х730х425мм)
900 psi Разрывающиеся диски для систем баллистической трансфекции PDS-1000/He, 100 BioRad 1652328
91015 Пробирки центрифужные 15 мл (град. 14 мл), коническое дно, PP, стерильные, 40 шт/уп, ТРР
946142 Стол для воспитателя, Столешница одинарная Steel 11100 (белый, 1000х700х25 мм) (Сборка включе
946149 Рабочий стол, Столешница одинарная Steel 11140 (дуб светлый) 1390х700х25 мм (Сборка включена
946152 Приставка - стол переговоров, Столешница одинарная Steel 11160 (дуб светлый, 1600х700х25 мм)
946157 Стол для воспитателя, Набор крайних опор для одиночного бенча Steel 11101 (белый, 700х80х727
946162 Передний щит для стола,ЛДСП 11, белый
946167 Стол для воспитателя, Тумба мобильная Steel 11300 (белый, 430х460х600 мм) (Сборка включена в
946180 Шкаф для документов+дверцы, Каркас шкафа Steel 11500 (белый, 800х360х1860 мм)
946181Шкаф для одежды, Каркас гардероба Steel 11501 (белый, 800х360х1860 мм)
946182 Тумба закрытая, Каркас шкафа/антресоли Steel 11400 (белый, 800х360х760 мм) (Сборка включена в
946184 Тумба закрытая, Двери деревянные Steel 11554 низкие (2 штуки в комплекте, дуб светлый, 800х67
946187 Шкаф для одежды, Двери деревянные Steel 11552 высокие (2 штуки в комплекте, дуб светлый, 800х
946189 Шкаф для документов+дверцы, Двери стеклянные Steel 11555 высокие прозрачные
951560 Мебель Imago тумба под оргтехнику ТМ-1 белый
959185 Шкаф RIVA высокий, широкий, белый
973992 Стол Бабочка на рег. ножках, композиция из 4-х столов
99745 Фильтрующая насадка для шприцев, с полиэфирсульфоновой мембраной, д.пор 0,45 мкм, д.33 мм,TTP,
A 301/5 Модуль для загрузки лабораторной посуды — может оснащаться 18 соплами, 69630105D
A 303 Модуль для оптимальной загрузки до 98 пипеток., 69630300D
A 861 Опорные решетки Для инжекторных модулей A 301/4 и A 301/5, 69686100D
A102  Верхняя корзина Регулировка высоты, для оптимальной загрузки вставок. , 69610200D
A26343 Набор QuantStudio™ 3/5 10-Dye Spectral Calibration Kit 96-лун, 0.2 мл, Thermo Fisher Scienti
A300/3 Модуль. Для оптимальной загрузки лабораторной посуды — может оснащаться 8 соплами. , 69630003
A37835 ДНК-амплификатор MiniAmp Plus, 3-zone VeriFlex Block, 96x0,2 мл, Thermo Fisher Scientific
A3803-100G Альбумин бычий сыворот./Albumin from bovine serum, Sigma, 100 г
A97 Гибкая подводка для выпуска унитаза AlCAPLAST 240/600mm
ab8580 Антитела Anti-Histone H3(tri methyl K4)-ChIP Grade кроличьи поликлональные 50 мкг Abcam
ActiveMotif 39133 Поликлональные антитела кролика к гистону H3K27ac человека, 100 мкг (-20°)
AK 12 Вставка для размещения различной посуды, 69501201D
ALBX-040 Салфетки Kim-Wipes безворсовые (280шт.)
Alexa Fluor 488, Invitrogen, A-11029
AllPrep DNA/RNA/miRNA Universal Kit (50), Qiagen, Cat No./ID: 80224
AM9680 ДНК спермы лосося Salmon Sperm DNA, sheared, 10 мг/мл, 10 пробирок, Invitrogen
